Year,Month,County,2012 Census Population,Population 18+ Estimate, Registry Enrollments,% Eligible Population Enrolled,OPO,Location,Chart Month
2014,12,Cayuga,80026,62164,18630,29.97,Finger Lakes Donor Recovery Network,"(42.940095, -76.560755)",12 (Dec)
2014,12,Chautauqua,134905,104794,38152,36.41,UNYTS,"(42.246904, -79.315313)",12 (Dec)
2014,12,Chemung,88830,69003,25828,37.43,Finger Lakes Donor Recovery Network,"(42.116644, -76.812331)",12 (Dec)
2014,12,Chenango,50477,39211,11094,28.29,Finger Lakes Donor Recovery Network,"(42.481798, -75.570013)",12 (Dec)
2014,12,Clinton,82128,63797,21297,33.38,Center for Donation and Transplant in New York,"(44.731944, -73.548883)",12 (Dec)
2014,12,Columbia,63096,49013,18240,37.21,Center for Donation and Transplant in New York,"(42.276913, -73.682168)",12 (Dec)
2014,12,Cortland,49336,38324,13034,34.01,Finger Lakes Donor Recovery Network,"(42.597101, -76.143291)",12 (Dec)
2014,12,Delaware,47980,37271,10284,27.59,Center for Donation and Transplant in New York,"(42.242972, -74.997944)",12 (Dec)
2014,12,Dutchess,297488,231089,68826,29.78,Center for Donation and Transplant in New York,"(41.686216, -73.840468)",12 (Dec)
2014,12,Erie,919040,713910,245721,34.42,UNYTS,"(42.888143, -78.795544)",12 (Dec)
2014,12,Essex,39370,30583,11168,36.52,Center for Donation and Transplant in New York,"(44.166026, -73.685145)",12 (Dec)
2014,12,Franklin,51599,40082,12839,32.03,Center for Donation and Transplant in New York,"(44.705699, -74.340621)",12 (Dec)
2014,12,Fulton,55531,43136,12094,28.04,Center for Donation and Transplant in New York,"(43.06014, -74.331296)",12 (Dec)
2014,12,Genesee,60079,46669,16753,35.9,UNYTS,"(43.000121, -78.172679)",12 (Dec)
2014,12,Greene,49221,38235,13011,34.03,Center for Donation and Transplant in New York,"(42.298326, -73.973376)",12 (Dec)
2014,12,Hamilton,4836,3757,1394,37.1,Center for Donation and Transplant in New York,"(43.618468, -74.395268)",12 (Dec)
2014,12,Herkimer,64519,50118,16343,32.61,Center for Donation and Transplant in New York,"(43.070026, -74.994246)",12 (Dec)
2014,12,Jefferson,116229,90287,34307,38,Finger Lakes Donor Recovery Network,"(44.019295, -75.898971)",12 (Dec)
2014,12,Kings,2504700,1945651,285807,14.69,New York Organ Donor Network,"(40.65642, -73.950691)",12 (Dec)
2014,12,Lewis,27087,21041,7757,36.87,Finger Lakes Donor Recovery Network,"(43.785537, -75.446296)",12 (Dec)
2014,12,Livingston,65393,50797,16981,33.43,Finger Lakes Donor Recovery Network,"(42.763754, -77.765392)",12 (Dec)
2014,12,Madison,73442,57050,18625,32.65,Finger Lakes Donor Recovery Network,"(42.986917, -75.720031)",12 (Dec)
2014,12,Monroe,744344,578206,170751,29.53,Finger Lakes Donor Recovery Network,"(43.161748, -77.620143)",12 (Dec)
2014,12,Montgomery,50219,39010,10231,26.23,Center for Donation and Transplant in New York,"(42.933637, -74.341972)",12 (Dec)
2014,12,Nassau,1339532,1040548,221647,21.3,New York Organ Donor Network,"(40.715749, -73.601185)",12 (Dec)
2014,12,New York,1585873,1231906,386272,31.36,New York Organ Donor Network,"(40.726966, -74.005966)",12 (Dec)
2014,12,Niagara,216469,168153,65587,39,UNYTS,"(43.134634, -78.856419)",12 (Dec)
2014,12,Oneida,234878,182453,35847,19.65,Center for Donation and Transplant in New York,"(43.149482, -75.361773)",12 (Dec)
2014,12,Onondaga,467026,362786,118428,32.64,Finger Lakes Donor Recovery Network,"(43.065629, -76.168033)",12 (Dec)
2014,12,Ontario,107931,83841,33186,39.58,Finger Lakes Donor Recovery Network,"(42.894571, -77.252045)",12 (Dec)
2014,12,Orange,372813,289601,72393,25,New York Organ Donor Network,"(41.422459, -74.241929)",12 (Dec)
2014,12,Orleans,42883,33312,3097,9.3,UNYTS,"(43.248394, -78.218438)",12 (Dec)
2014,12,Oswego,122109,94854,27938,29.45,Finger Lakes Donor Recovery Network,"(43.39123, -76.31133)",12 (Dec)
2014,12,Otsego,62259,48363,16302,33.71,Center for Donation and Transplant in New York,"(42.564852, -75.060334)",12 (Dec)
2014,12,Out of State,0,0,179,0,,,12 (Dec)
2014,12,Putnam,99710,77455,24759,31.97,New York Organ Donor Network,"(41.41131, -73.717443)",12 (Dec)
2014,12,Queens,2230722,1732825,203903,11.77,New York Organ Donor Network,"(40.749338, -73.789673)",12 (Dec)
2014,12,Rensselaer,159429,123844,37903,30.61,Center for Donation and Transplant in New York,"(42.70098, -73.628669)",12 (Dec)
2014,12,Richmond,468730,364109,59393,16.31,New York Organ Donor Network,"(40.566763, -74.148102)",12 (Dec)
2014,12,Rockland,311687,242118,48254,19.93,New York Organ Donor Network,"(41.127287, -74.017033)",12 (Dec)
2014,12,Saratoga,219607,170591,72732,42.64,Center for Donation and Transplant in New York,"(43.00894, -73.786779)",12 (Dec)
2014,12,Schenectady,154727,120192,42703,35.53,Center for Donation and Transplant in New York,"(42.809233, -73.946838)",12 (Dec)
2014,12,Schoharie,32749,25439,8498,33.41,Center for Donation and Transplant in New York,"(42.643426, -74.434606)",12 (Dec)
2014,12,Schuyler,18343,14249,4921,34.54,Finger Lakes Donor Recovery Network,"(42.38593, -76.872032)",12 (Dec)
2014,12,Seneca,35251,27383,4760,17.38,Finger Lakes Donor Recovery Network,"(42.833627, -76.82753)",12 (Dec)
2014,12,Steuben,98990,76895,26489,34.45,Finger Lakes Donor Recovery Network,"(42.270053, -77.324618)",12 (Dec)
2014,12,St Lawrence,111944,86958,21161,24.33,Center for Donation and Transplant in New York,"(44.689468, -75.242045)",12 (Dec)
2014,12,Suffolk,1493350,1160034,312534,26.94,New York Organ Donor Network,"(40.820237, -73.119032)",12 (Dec)
2014,12,Sullivan,77547,60239,14647,24.31,Center for Donation and Transplant in New York,"(41.705166, -74.711705)",12 (Dec)
2014,12,Tioga,51125,39714,13718,34.54,Center for Donation and Transplant in New York,"(42.120252, -76.29595)",12 (Dec)
2014,12,Tompkins,101564,78895,38239,48.47,Finger Lakes Donor Recovery Network,"(42.461024, -76.478784)",12 (Dec)
2014,12,TOTAL NYS,19378102,15052907,3605997,23.96,,,12 (Dec)
2014,12,Ulster,182493,141761,42694,30.12,Center for Donation and Transplant in New York,"(41.848374, -74.099412)",12 (Dec)
2014,12,Unknown,0,0,19492,0,,,12 (Dec)
2014,12,Warren,65707,51041,13727,26.89,Center for Donation and Transplant in New York,"(43.403024, -73.716044)",12 (Dec)
2014,12,Washington,63216,49106,14228,28.97,Center for Donation and Transplant in New York,"(43.289513, -73.454761)",12 (Dec)
2014,12,Wayne,93772,72842,20617,28.3,Finger Lakes Donor Recovery Network,"(43.144336, -77.117995)",12 (Dec)
2014,12,Westchester,949113,737271,169528,22.99,New York Organ Donor Network,"(41.039278, -73.805386)",12 (Dec)
2014,12,Wyoming,42155,32746,11611,35.46,UNYTS,"(42.723641, -78.204473)",12 (Dec)
2014,12,Yates,25348,19690,6624,33.64,Finger Lakes Donor Recovery Network,"(42.634338, -77.078311)",12 (Dec)
2014,11,Albany,304204,236306,69588,29.45,Center for Donation and Transplant in New York,"(42.678066, -73.814233)",11 (Nov)
2014,11,Allegany,48946,38021,12464,32.78,UNYTS,"(42.226801, -78.020567)",11 (Nov)
2014,11,Bronx,1385108,1075952,135776,12.62,New York Organ Donor Network,"(40.85589, -73.868294)",11 (Nov)
2014,11,Broome,200600,155826,51203,32.86,Center for Donation and Transplant in New York,"(42.122015, -75.933191)",11 (Nov)
2014,11,Cattauragus,80317,62390,22278,35.71,UNYTS,"(42.224267, -78.606673)",11 (Nov)
2014,11,Cayuga,80026,62164,18519,29.79,Finger Lakes Donor Recovery Network,"(42.940095, -76.560755)",11 (Nov)
2014,11,Chautauqua,134905,104794,38054,36.31,UNYTS,"(42.246904, -79.315313)",11 (Nov)
2014,11,Chemung,88830,69003,25727,37.28,Finger Lakes Donor Recovery Network,"(42.116644, -76.812331)",11 (Nov)
2014,11,Chenango,50477,39211,11026,28.12,Finger Lakes Donor Recovery Network,"(42.481798, -75.570013)",11 (Nov)
2014,11,Clinton,82128,63797,21214,33.25,Center for Donation and Transplant in New York,"(44.731944, -73.548883)",11 (Nov)
2014,11,Columbia,63096,49013,18150,37.03,Center for Donation and Transplant in New York,"(42.276913, -73.682168)",11 (Nov)
2014,11,Cortland,49336,38324,12991,33.9,Finger Lakes Donor Recovery Network,"(42.597101, -76.143291)",11 (Nov)
2014,11,Delaware,47980,37271,10228,27.44,Center for Donation and Transplant in New York,"(42.242972, -74.997944)",11 (Nov)
2014,11,Dutchess,297488,231089,68514,29.65,Center for Donation and Transplant in New York,"(41.686216, -73.840468)",11 (Nov)
2014,11,Erie,919040,713910,244449,34.24,UNYTS,"(42.888143, -78.795544)",11 (Nov)
2014,11,Essex,39370,30583,11126,36.38,Center for Donation and Transplant in New York,"(44.166026, -73.685145)",11 (Nov)
2014,11,Franklin,51599,40082,12783,31.89,Center for Donation and Transplant in New York,"(44.705699, -74.340621)",11 (Nov)
2014,11,Fulton,55531,43136,12048,27.93,Center for Donation and Transplant in New York,"(43.06014, -74.331296)",11 (Nov)
2014,11,Genesee,60079,46669,16682,35.75,UNYTS,"(43.000121, -78.172679)",11 (Nov)
2014,11,Greene,49221,38235,12946,33.86,Center for Donation and Transplant in New York,"(42.298326, -73.973376)",11 (Nov)
2014,11,Hamilton,4836,3757,1387,36.92,Center for Donation and Transplant in New York,"(43.618468, -74.395268)",11 (Nov)
2014,11,Herkimer,64519,50118,16261,32.45,Center for Donation and Transplant in New York,"(43.070026, -74.994246)",11 (Nov)
2014,11,Jefferson,116229,90287,34115,37.79,Finger Lakes Donor Recovery Network,"(44.019295, -75.898971)",11 (Nov)
2014,11,Kings,2504700,1945651,283543,14.57,New York Organ Donor Network,"(40.65642, -73.950691)",11 (Nov)
2014,11,Lewis,27087,21041,7727,36.72,Finger Lakes Donor Recovery Network,"(43.785537, -75.446296)",11 (Nov)
2014,11,Livingston,65393,50797,16899,33.27,Finger Lakes Donor Recovery Network,"(42.763754, -77.765392)",11 (Nov)
2014,11,Madison,73442,57050,18531,32.48,Finger Lakes Donor Recovery Network,"(42.986917, -75.720031)",11 (Nov)
2014,11,Monroe,744344,578206,170007,29.4,Finger Lakes Donor Recovery Network,"(43.161748, -77.620143)",11 (Nov)
2014,11,Montgomery,50219,39010,10182,26.1,Center for Donation and Transplant in New York,"(42.933637, -74.341972)",11 (Nov)
2014,11,Nassau,1339532,1040548,220667,21.21,New York Organ Donor Network,"(40.715749, -73.601185)",11 (Nov)
2014,11,New York,1585873,1231906,383891,31.16,New York Organ Donor Network,"(40.726966, -74.005966)",11 (Nov)
2014,11,Niagara,216469,168153,65369,38.87,UNYTS,"(43.134634, -78.856419)",11 (Nov)
2014,11,Oneida,234878,182453,35678,19.55,Center for Donation and Transplant in New York,"(43.149482, -75.361773)",11 (Nov)
2014,11,Onondaga,467026,362786,117973,32.52,Finger Lakes Donor Recovery Network,"(43.065629, -76.168033)",11 (Nov)
2014,11,Ontario,107931,83841,33060,39.43,Finger Lakes Donor Recovery Network,"(42.894571, -77.252045)",11 (Nov)
2014,11,Orange,372813,289601,72011,24.87,New York Organ Donor Network,"(41.422459, -74.241929)",11 (Nov)
2014,11,Orleans,42883,33312,3067,9.21,UNYTS,"(43.248394, -78.218438)",11 (Nov)
2014,11,Oswego,122109,94854,27806,29.31,Finger Lakes Donor Recovery Network,"(43.39123, -76.31133)",11 (Nov)
2014,11,Otsego,62259,48363,16225,33.55,Center for Donation and Transplant in New York,"(42.564852, -75.060334)",11 (Nov)
2014,11,Out of State,0,0,179,0,,,11 (Nov)
2014,11,Putnam,99710,77455,24638,31.81,New York Organ Donor Network,"(41.41131, -73.717443)",11 (Nov)
2014,11,Queens,2230722,1732825,202538,11.69,New York Organ Donor Network,"(40.749338, -73.789673)",11 (Nov)
2014,11,Rensselaer,159429,123844,37698,30.44,Center for Donation and Transplant in New York,"(42.70098, -73.628669)",11 (Nov)
2014,11,Richmond,468730,364109,59036,16.21,New York Organ Donor Network,"(40.566763, -74.148102)",11 (Nov)
2014,11,Rockland,311687,242118,48013,19.83,New York Organ Donor Network,"(41.127287, -74.017033)",11 (Nov)
2014,11,Saratoga,219607,170591,72433,42.46,Center for Donation and Transplant in New York,"(43.00894, -73.786779)",11 (Nov)
2014,11,Schenectady,154727,120192,42527,35.38,Center for Donation and Transplant in New York,"(42.809233, -73.946838)",11 (Nov)
2014,11,Schoharie,32749,25439,8475,33.31,Center for Donation and Transplant in New York,"(42.643426, -74.434606)",11 (Nov)
2014,11,Schuyler,18343,14249,4899,34.38,Finger Lakes Donor Recovery Network,"(42.38593, -76.872032)",11 (Nov)
2014,11,Seneca,35251,27383,4739,17.31,Finger Lakes Donor Recovery Network,"(42.833627, -76.82753)",11 (Nov)
2014,11,Steuben,98990,76895,26353,34.27,Finger Lakes Donor Recovery Network,"(42.270053, -77.324618)",11 (Nov)
2014,11,St Lawrence,111944,86958,21161,24.33,Center for Donation and Transplant in New York,"(44.689468, -75.242045)",11 (Nov)
2014,11,Suffolk,1493350,1160034,311262,26.83,New York Organ Donor Network,"(40.820237, -73.119032)",11 (Nov)
2014,11,Sullivan,77547,60239,14571,24.19,Center for Donation and Transplant in New York,"(41.705166, -74.711705)",11 (Nov)
2014,11,Tioga,51125,39714,13674,34.43,Center for Donation and Transplant in New York,"(42.120252, -76.29595)",11 (Nov)
2014,11,Tompkins,101564,78895,38046,48.22,Finger Lakes Donor Recovery Network,"(42.461024, -76.478784)",11 (Nov)
2014,11,TOTAL NYS,19378102,15052907,3587405,23.83,,,11 (Nov)
2014,11,Ulster,182493,141761,42462,29.95,Center for Donation and Transplant in New York,"(41.848374, -74.099412)",11 (Nov)
2014,11,Unknown,0,0,19302,0,,,11 (Nov)
2014,11,Warren,65707,51041,13675,26.79,Center for Donation and Transplant in New York,"(43.403024, -73.716044)",11 (Nov)
2014,11,Washington,63216,49106,14179,28.87,Center for Donation and Transplant in New York,"(43.289513, -73.454761)",11 (Nov)
2014,11,Wayne,93772,72842,20521,28.17,Finger Lakes Donor Recovery Network,"(43.144336, -77.117995)",11 (Nov)
2014,11,Westchester,949113,737271,168683,22.88,New York Organ Donor Network,"(41.039278, -73.805386)",11 (Nov)
2014,11,Wyoming,42155,32746,11585,35.38,UNYTS,"(42.723641, -78.204473)",11 (Nov)
2014,11,Yates,25348,19690,6591,33.47,Finger Lakes Donor Recovery Network,"(42.634338, -77.078311)",11 (Nov)
2014,10,Albany,304204,236306,69200,29.28,Center for Donation and Transplant in New York,"(42.678066, -73.814233)",10 (Oct)
2014,10,Allegany,48946,38021,12417,32.66,UNYTS,"(42.226801, -78.020567)",10 (Oct)
2014,10,Bronx,1385108,1075952,134938,12.54,New York Organ Donor Network,"(40.85589, -73.868294)",10 (Oct)
2014,10,Broome,200600,155826,50994,32.72,Center for Donation and Transplant in New York,"(42.122015, -75.933191)",10 (Oct)
2014,10,Cattauragus,80317,62390,22278,35.71,UNYTS,"(42.224267, -78.606673)",10 (Oct)
2014,10,Cayuga,80026,62164,18397,29.59,Finger Lakes Donor Recovery Network,"(42.940095, -76.560755)",10 (Oct)
2014,10,Chautauqua,134905,104794,37954,36.22,UNYTS,"(42.246904, -79.315313)",10 (Oct)
2014,10,Chemung,88830,69003,25611,37.12,Finger Lakes Donor Recovery Network,"(42.116644, -76.812331)",10 (Oct)
2014,10,Chenango,50477,39211,10962,27.96,Finger Lakes Donor Recovery Network,"(42.481798, -75.570013)",10 (Oct)
2014,10,Clinton,82128,63797,21125,33.11,Center for Donation and Transplant in New York,"(44.731944, -73.548883)",10 (Oct)
2014,10,Columbia,63096,49013,18058,36.84,Center for Donation and Transplant in New York,"(42.276913, -73.682168)",10 (Oct)
2014,10,Cortland,49336,38324,12942,33.77,Finger Lakes Donor Recovery Network,"(42.597101, -76.143291)",10 (Oct)
2014,10,Delaware,47980,37271,10180,27.31,Center for Donation and Transplant in New York,"(42.242972, -74.997944)",10 (Oct)
2014,10,Dutchess,297488,231089,68087,29.46,Center for Donation and Transplant in New York,"(41.686216, -73.840468)",10 (Oct)
2014,10,Erie,919040,713910,243315,34.08,UNYTS,"(42.888143, -78.795544)",10 (Oct)
2014,10,Essex,39370,30583,11077,36.22,Center for Donation and Transplant in New York,"(44.166026, -73.685145)",10 (Oct)
2014,10,Franklin,51599,40082,12743,31.79,Center for Donation and Transplant in New York,"(44.705699, -74.340621)",10 (Oct)
2014,10,Fulton,55531,43136,12002,27.82,Center for Donation and Transplant in New York,"(43.06014, -74.331296)",10 (Oct)
2014,10,Genesee,60079,46669,16601,35.57,UNYTS,"(43.000121, -78.172679)",10 (Oct)
2014,10,Greene,49221,38235,12907,33.76,Center for Donation and Transplant in New York,"(42.298326, -73.973376)",10 (Oct)
2014,10,Hamilton,4836,3757,1380,36.73,Center for Donation and Transplant in New York,"(43.618468, -74.395268)",10 (Oct)
2014,10,Herkimer,64519,50118,16197,32.32,Center for Donation and Transplant in New York,"(43.070026, -74.994246)",10 (Oct)
2014,10,Jefferson,116229,90287,33900,37.55,Finger Lakes Donor Recovery Network,"(44.019295, -75.898971)",10 (Oct)
2014,10,Kings,2504700,1945651,281308,14.46,New York Organ Donor Network,"(40.65642, -73.950691)",10 (Oct)
2014,10,Lewis,27087,21041,7706,36.62,Finger Lakes Donor Recovery Network,"(43.785537, -75.446296)",10 (Oct)
2014,10,Livingston,65393,50797,16816,33.1,Finger Lakes Donor Recovery Network,"(42.763754, -77.765392)",10 (Oct)
2014,10,Madison,73442,57050,18438,32.32,Finger Lakes Donor Recovery Network,"(42.986917, -75.720031)",10 (Oct)
2014,10,Monroe,744344,578206,169043,29.24,Finger Lakes Donor Recovery Network,"(43.161748, -77.620143)",10 (Oct)
2014,10,Montgomery,50219,39010,10127,25.96,Center for Donation and Transplant in New York,"(42.933637, -74.341972)",10 (Oct)
2014,10,Nassau,1339532,1040548,219691,21.11,New York Organ Donor Network,"(40.715749, -73.601185)",10 (Oct)
2014,10,New York,1585873,1231906,381303,30.95,New York Organ Donor Network,"(40.726966, -74.005966)",10 (Oct)
2014,10,Niagara,216469,168153,65111,38.72,UNYTS,"(43.134634, -78.856419)",10 (Oct)
2014,10,Oneida,234878,182453,35513,19.46,Center for Donation and Transplant in New York,"(43.149482, -75.361773)",10 (Oct)
2014,10,Onondaga,467026,362786,117390,32.36,Finger Lakes Donor Recovery Network,"(43.065629, -76.168033)",10 (Oct)
2014,10,Ontario,107931,83841,32873,39.21,Finger Lakes Donor Recovery Network,"(42.894571, -77.252045)",10 (Oct)
2014,10,Orange,372813,289601,71627,24.73,New York Organ Donor Network,"(41.422459, -74.241929)",10 (Oct)
2014,10,Orleans,42883,33312,3041,9.13,UNYTS,"(43.248394, -78.218438)",10 (Oct)
2014,10,Oswego,122109,94854,27683,29.18,Finger Lakes Donor Recovery Network,"(43.39123, -76.31133)",10 (Oct)
2014,10,Otsego,62259,48363,16180,33.46,Center for Donation and Transplant in New York,"(42.564852, -75.060334)",10 (Oct)
2014,10,Out of State,0,0,177,0,,,10 (Oct)
2014,10,Putnam,99710,77455,24530,31.67,New York Organ Donor Network,"(41.41131, -73.717443)",10 (Oct)
2014,10,Queens,2230722,1732825,201142,11.61,New York Organ Donor Network,"(40.749338, -73.789673)",10 (Oct)
2014,10,Rensselaer,159429,123844,37531,30.31,Center for Donation and Transplant in New York,"(42.70098, -73.628669)",10 (Oct)
2014,10,Richmond,468730,364109,58714,16.13,New York Organ Donor Network,"(40.566763, -74.148102)",10 (Oct)
2014,10,Rockland,311687,242118,47764,19.73,New York Organ Donor Network,"(41.127287, -74.017033)",10 (Oct)
2014,10,Saratoga,219607,170591,72069,42.25,Center for Donation and Transplant in New York,"(43.00894, -73.786779)",10 (Oct)
2014,10,Schenectady,154727,120192,42377,35.26,Center for Donation and Transplant in New York,"(42.809233, -73.946838)",10 (Oct)
2014,10,Schoharie,32749,25439,8459,33.25,Center for Donation and Transplant in New York,"(42.643426, -74.434606)",10 (Oct)
2014,10,Schuyler,18343,14249,4878,34.23,Finger Lakes Donor Recovery Network,"(42.38593, -76.872032)",10 (Oct)
2014,10,Seneca,35251,27383,4714,17.22,Finger Lakes Donor Recovery Network,"(42.833627, -76.82753)",10 (Oct)
2014,10,Steuben,98990,76895,26260,34.15,Finger Lakes Donor Recovery Network,"(42.270053, -77.324618)",10 (Oct)
2014,10,St Lawrence,111944,86958,21161,24.33,Center for Donation and Transplant in New York,"(44.689468, -75.242045)",10 (Oct)
2014,10,Suffolk,1493350,1160034,309994,26.72,New York Organ Donor Network,"(40.820237, -73.119032)",10 (Oct)
2014,10,Sullivan,77547,60239,14483,24.04,Center for Donation and Transplant in New York,"(41.705166, -74.711705)",10 (Oct)
2014,10,Tioga,51125,39714,13617,34.29,Center for Donation and Transplant in New York,"(42.120252, -76.29595)",10 (Oct)
2014,10,Tompkins,101564,78895,37859,47.99,Finger Lakes Donor Recovery Network,"(42.461024, -76.478784)",10 (Oct)
2014,10,TOTAL NYS,19378102,15052907,3568280,23.7,,,10 (Oct)
2014,10,Ulster,182493,141761,42205,29.77,Center for Donation and Transplant in New York,"(41.848374, -74.099412)",10 (Oct)
2014,10,Unknown,0,0,19108,0,,,10 (Oct)
2014,10,Warren,65707,51041,13621,26.69,Center for Donation and Transplant in New York,"(43.403024, -73.716044)",10 (Oct)
2014,10,Washington,63216,49106,14119,28.75,Center for Donation and Transplant in New York,"(43.289513, -73.454761)",10 (Oct)
2014,10,Wayne,93772,72842,20421,28.03,Finger Lakes Donor Recovery Network,"(43.144336, -77.117995)",10 (Oct)
2014,10,Westchester,949113,737271,167844,22.77,New York Organ Donor Network,"(41.039278, -73.805386)",10 (Oct)
2014,10,Wyoming,42155,32746,11548,35.27,UNYTS,"(42.723641, -78.204473)",10 (Oct)
2014,10,Yates,25348,19690,6570,33.37,Finger Lakes Donor Recovery Network,"(42.634338, -77.078311)",10 (Oct)
2014,9,Albany,304204,236306,68708,29.08,Center for Donation and Transplant in New York,"(42.678066, -73.814233)",09 (Sep)
2014,9,Allegany,48946,38021,12339,32.45,UNYTS,"(42.226801, -78.020567)",09 (Sep)
2011,8,Unknown,0,0,10881,0,,,08 (Aug)
2014,9,Bronx,1385108,1075952,133567,12.41,New York Organ Donor Network,"(40.85589, -73.868294)",09 (Sep)
2014,9,Broome,200600,155826,50682,32.52,Center for Donation and Transplant in New York,"(42.122015, -75.933191)",09 (Sep)
2014,9,Cattauragus,80317,62390,22278,35.71,UNYTS,"(42.224267, -78.606673)",09 (Sep)
2014,9,Cayuga,80026,62164,18245,29.35,Finger Lakes Donor Recovery Network,"(42.940095, -76.560755)",09 (Sep)
2014,9,Chautauqua,134905,104794,37787,36.06,UNYTS,"(42.246904, -79.315313)",09 (Sep)
2014,9,Chemung,88830,69003,25428,36.85,Finger Lakes Donor Recovery Network,"(42.116644, -76.812331)",09 (Sep)
2014,9,Chenango,50477,39211,10883,27.75,Finger Lakes Donor Recovery Network,"(42.481798, -75.570013)",09 (Sep)
2014,9,Clinton,82128,63797,21012,32.94,Center for Donation and Transplant in New York,"(44.731944, -73.548883)",09 (Sep)
2014,9,Columbia,63096,49013,17932,36.59,Center for Donation and Transplant in New York,"(42.276913, -73.682168)",09 (Sep)
2014,9,Cortland,49336,38324,12892,33.64,Finger Lakes Donor Recovery Network,"(42.597101, -76.143291)",09 (Sep)
2014,9,Delaware,47980,37271,10108,27.12,Center for Donation and Transplant in New York,"(42.242972, -74.997944)",09 (Sep)
2014,9,Dutchess,297488,231089,67416,29.17,Center for Donation and Transplant in New York,"(41.686216, -73.840468)",09 (Sep)
2014,9,Erie,919040,713910,241474,33.82,UNYTS,"(42.888143, -78.795544)",09 (Sep)
2014,9,Essex,39370,30583,11000,35.97,Center for Donation and Transplant in New York,"(44.166026, -73.685145)",09 (Sep)
2014,9,Franklin,51599,40082,12665,31.6,Center for Donation and Transplant in New York,"(44.705699, -74.340621)",09 (Sep)
2014,9,Fulton,55531,43136,11935,27.67,Center for Donation and Transplant in New York,"(43.06014, -74.331296)",09 (Sep)
2014,9,Genesee,60079,46669,16502,35.36,UNYTS,"(43.000121, -78.172679)",09 (Sep)
2014,9,Greene,49221,38235,12820,33.53,Center for Donation and Transplant in New York,"(42.298326, -73.973376)",09 (Sep)
2014,9,Hamilton,4836,3757,1378,36.68,Center for Donation and Transplant in New York,"(43.618468, -74.395268)",09 (Sep)
2014,9,Herkimer,64519,50118,16073,32.07,Center for Donation and Transplant in New York,"(43.070026, -74.994246)",09 (Sep)
2014,9,Jefferson,116229,90287,33637,37.26,Finger Lakes Donor Recovery Network,"(44.019295, -75.898971)",09 (Sep)
2014,9,Kings,2504700,1945651,278188,14.3,New York Organ Donor Network,"(40.65642, -73.950691)",09 (Sep)
2014,9,Lewis,27087,21041,7673,36.47,Finger Lakes Donor Recovery Network,"(43.785537, -75.446296)",09 (Sep)
2014,9,Livingston,65393,50797,16698,32.87,Finger Lakes Donor Recovery Network,"(42.763754, -77.765392)",09 (Sep)
2014,9,Madison,73442,57050,18265,32.02,Finger Lakes Donor Recovery Network,"(42.986917, -75.720031)",09 (Sep)
2014,9,Monroe,744344,578206,167836,29.03,Finger Lakes Donor Recovery Network,"(43.161748, -77.620143)",09 (Sep)
2014,9,Montgomery,50219,39010,10072,25.82,Center for Donation and Transplant in New York,"(42.933637, -74.341972)",09 (Sep)
2014,9,Nassau,1339532,1040548,218260,20.98,New York Organ Donor Network,"(40.715749, -73.601185)",09 (Sep)
2014,9,New York,1585873,1231906,377872,30.67,New York Organ Donor Network,"(40.726966, -74.005966)",09 (Sep)
2014,9,Niagara,216469,168153,64724,38.49,UNYTS,"(43.134634, -78.856419)",09 (Sep)
2014,9,Oneida,234878,182453,35261,19.33,Center for Donation and Transplant in New York,"(43.149482, -75.361773)",09 (Sep)
2014,9,Onondaga,467026,362786,116569,32.13,Finger Lakes Donor Recovery Network,"(43.065629, -76.168033)",09 (Sep)
2014,9,Ontario,107931,83841,32617,38.9,Finger Lakes Donor Recovery Network,"(42.894571, -77.252045)",09 (Sep)
2014,9,Orange,372813,289601,71140,24.56,New York Organ Donor Network,"(41.422459, -74.241929)",09 (Sep)
2014,9,Orleans,42883,33312,3007,9.03,UNYTS,"(43.248394, -78.218438)",09 (Sep)
2014,9,Oswego,122109,94854,27472,28.96,Finger Lakes Donor Recovery Network,"(43.39123, -76.31133)",09 (Sep)
2014,9,Otsego,62259,48363,16105,33.3,Center for Donation and Transplant in New York,"(42.564852, -75.060334)",09 (Sep)
2014,9,Out of State,0,0,177,0,,,09 (Sep)
2014,9,Putnam,99710,77455,24360,31.45,New York Organ Donor Network,"(41.41131, -73.717443)",09 (Sep)
2014,9,Queens,2230722,1732825,199093,11.49,New York Organ Donor Network,"(40.749338, -73.789673)",09 (Sep)
2014,9,Rensselaer,159429,123844,37229,30.06,Center for Donation and Transplant in New York,"(42.70098, -73.628669)",09 (Sep)
2014,9,Richmond,468730,364109,58236,15.99,New York Organ Donor Network,"(40.566763, -74.148102)",09 (Sep)
2014,9,Rockland,311687,242118,47385,19.57,New York Organ Donor Network,"(41.127287, -74.017033)",09 (Sep)
2014,9,Saratoga,219607,170591,71525,41.93,Center for Donation and Transplant in New York,"(43.00894, -73.786779)",09 (Sep)
2014,9,Schenectady,154727,120192,42110,35.04,Center for Donation and Transplant in New York,"(42.809233, -73.946838)",09 (Sep)
2014,9,Schoharie,32749,25439,8417,33.09,Center for Donation and Transplant in New York,"(42.643426, -74.434606)",09 (Sep)
2014,9,Schuyler,18343,14249,4841,33.97,Finger Lakes Donor Recovery Network,"(42.38593, -76.872032)",09 (Sep)
2014,9,Seneca,35251,27383,4687,17.12,Finger Lakes Donor Recovery Network,"(42.833627, -76.82753)",09 (Sep)
