pop_2012,chart_month,county,eligible_population_enrolled,location,month,opo,population_18_estimate,registry_enrollments,year,dummy_day,date
304204,08 (Aug),Albany,28.93,"(42.678066, -73.814233)",8,Center for Donation and Transplant in New York,236306,68361,2014,01,2014-08-01
48946,08 (Aug),Allegany,32.32,"(42.226801, -78.020567)",8,UNYTS,38021,12290,2014,01,2014-08-01
1385108,08 (Aug),Bronx,12.32,"(40.85589, -73.868294)",8,New York Organ Donor Network,1075952,132551,2014,01,2014-08-01
200600,08 (Aug),Broome,32.35,"(42.122015, -75.933191)",8,Center for Donation and Transplant in New York,155826,50412,2014,01,2014-08-01
80317,08 (Aug),Cattauragus,35.71,"(42.224267, -78.606673)",8,UNYTS,62390,22278,2014,01,2014-08-01
80026,08 (Aug),Cayuga,29.2,"(42.940095, -76.560755)",8,Finger Lakes Donor Recovery Network,62164,18150,2014,01,2014-08-01
134905,08 (Aug),Chautauqua,35.96,"(42.246904, -79.315313)",8,UNYTS,104794,37688,2014,01,2014-08-01
1493350,06 (Jun),Suffolk,26.14,"(40.820237, -73.119032)",6,New York Organ Donor Network,1160034,303230,2014,01,2014-06-01
88830,08 (Aug),Chemung,36.69,"(42.116644, -76.812331)",8,Finger Lakes Donor Recovery Network,69003,25320,2014,01,2014-08-01
50477,08 (Aug),Chenango,27.59,"(42.481798, -75.570013)",8,Finger Lakes Donor Recovery Network,39211,10818,2014,01,2014-08-01
82128,08 (Aug),Clinton,32.76,"(44.731944, -73.548883)",8,Center for Donation and Transplant in New York,63797,20899,2014,01,2014-08-01
63096,08 (Aug),Columbia,36.4,"(42.276913, -73.682168)",8,Center for Donation and Transplant in New York,49013,17840,2014,01,2014-08-01
49336,08 (Aug),Cortland,33.5,"(42.597101, -76.143291)",8,Finger Lakes Donor Recovery Network,38324,12839,2014,01,2014-08-01
47980,08 (Aug),Delaware,26.99,"(42.242972, -74.997944)",8,Center for Donation and Transplant in New York,37271,10060,2014,01,2014-08-01
297488,08 (Aug),Dutchess,28.98,"(41.686216, -73.840468)",8,Center for Donation and Transplant in New York,231089,66959,2014,01,2014-08-01
919040,08 (Aug),Erie,33.63,"(42.888143, -78.795544)",8,UNYTS,713910,240055,2014,01,2014-08-01
39370,08 (Aug),Essex,35.81,"(44.166026, -73.685145)",8,Center for Donation and Transplant in New York,30583,10953,2014,01,2014-08-01
51599,08 (Aug),Franklin,31.43,"(44.705699, -74.340621)",8,Center for Donation and Transplant in New York,40082,12597,2014,01,2014-08-01
55531,08 (Aug),Fulton,27.58,"(43.06014, -74.331296)",8,Center for Donation and Transplant in New York,43136,11896,2014,01,2014-08-01
60079,08 (Aug),Genesee,35.21,"(43.000121, -78.172679)",8,UNYTS,46669,16434,2014,01,2014-08-01
49221,08 (Aug),Greene,33.34,"(42.298326, -73.973376)",8,Center for Donation and Transplant in New York,38235,12748,2014,01,2014-08-01
4836,08 (Aug),Hamilton,36.44,"(43.618468, -74.395268)",8,Center for Donation and Transplant in New York,3757,1369,2014,01,2014-08-01
64519,08 (Aug),Herkimer,31.93,"(43.070026, -74.994246)",8,Center for Donation and Transplant in New York,50118,16005,2014,01,2014-08-01
116229,08 (Aug),Jefferson,37.06,"(44.019295, -75.898971)",8,Finger Lakes Donor Recovery Network,90287,33461,2014,01,2014-08-01
2504700,08 (Aug),Kings,14.18,"(40.65642, -73.950691)",8,New York Organ Donor Network,1945651,275975,2014,01,2014-08-01
27087,08 (Aug),Lewis,36.25,"(43.785537, -75.446296)",8,Finger Lakes Donor Recovery Network,21041,7628,2014,01,2014-08-01
65393,08 (Aug),Livingston,32.72,"(42.763754, -77.765392)",8,Finger Lakes Donor Recovery Network,50797,16621,2014,01,2014-08-01
73442,08 (Aug),Madison,31.81,"(42.986917, -75.720031)",8,Finger Lakes Donor Recovery Network,57050,18147,2014,01,2014-08-01
744344,08 (Aug),Monroe,28.87,"(43.161748, -77.620143)",8,Finger Lakes Donor Recovery Network,578206,166908,2014,01,2014-08-01
50219,08 (Aug),Montgomery,25.68,"(42.933637, -74.341972)",8,Center for Donation and Transplant in New York,39010,10018,2014,01,2014-08-01
1339532,08 (Aug),Nassau,20.87,"(40.715749, -73.601185)",8,New York Organ Donor Network,1040548,217188,2014,01,2014-08-01
1585873,08 (Aug),New York,30.47,"(40.726966, -74.005966)",8,New York Organ Donor Network,1231906,375333,2014,01,2014-08-01
216469,08 (Aug),Niagara,38.32,"(43.134634, -78.856419)",8,UNYTS,168153,64443,2014,01,2014-08-01
234878,08 (Aug),Oneida,19.23,"(43.149482, -75.361773)",8,Center for Donation and Transplant in New York,182453,35081,2014,01,2014-08-01
467026,08 (Aug),Onondaga,31.99,"(43.065629, -76.168033)",8,Finger Lakes Donor Recovery Network,362786,116056,2014,01,2014-08-01
107931,08 (Aug),Ontario,38.66,"(42.894571, -77.252045)",8,Finger Lakes Donor Recovery Network,83841,32411,2014,01,2014-08-01
372813,08 (Aug),Orange,24.44,"(41.422459, -74.241929)",8,New York Organ Donor Network,289601,70789,2014,01,2014-08-01
42883,08 (Aug),Orleans,8.93,"(43.248394, -78.218438)",8,UNYTS,33312,2976,2014,01,2014-08-01
122109,08 (Aug),Oswego,28.82,"(43.39123, -76.31133)",8,Finger Lakes Donor Recovery Network,94854,27337,2014,01,2014-08-01
62259,08 (Aug),Otsego,33.18,"(42.564852, -75.060334)",8,Center for Donation and Transplant in New York,48363,16047,2014,01,2014-08-01
99710,08 (Aug),Putnam,31.28,"(41.41131, -73.717443)",8,New York Organ Donor Network,77455,24231,2014,01,2014-08-01
80317,04 (Apr),Cattauragus,35.71,"(42.224267, -78.606673)",4,UNYTS,62390,22278,2014,01,2014-04-01
2230722,08 (Aug),Queens,11.4,"(40.749338, -73.789673)",8,New York Organ Donor Network,1732825,197621,2014,01,2014-08-01
159429,08 (Aug),Rensselaer,29.87,"(42.70098, -73.628669)",8,Center for Donation and Transplant in New York,123844,36990,2014,01,2014-08-01
468730,08 (Aug),Richmond,15.89,"(40.566763, -74.148102)",8,New York Organ Donor Network,364109,57850,2014,01,2014-08-01
311687,08 (Aug),Rockland,19.46,"(41.127287, -74.017033)",8,New York Organ Donor Network,242118,47115,2014,01,2014-08-01
219607,08 (Aug),Saratoga,41.71,"(43.00894, -73.786779)",8,Center for Donation and Transplant in New York,170591,71149,2014,01,2014-08-01
154727,08 (Aug),Schenectady,34.89,"(42.809233, -73.946838)",8,Center for Donation and Transplant in New York,120192,41934,2014,01,2014-08-01
32749,08 (Aug),Schoharie,32.97,"(42.643426, -74.434606)",8,Center for Donation and Transplant in New York,25439,8388,2014,01,2014-08-01
18343,08 (Aug),Schuyler,33.81,"(42.38593, -76.872032)",8,Finger Lakes Donor Recovery Network,14249,4817,2014,01,2014-08-01
35251,08 (Aug),Seneca,17.07,"(42.833627, -76.82753)",8,Finger Lakes Donor Recovery Network,27383,4674,2014,01,2014-08-01
98990,08 (Aug),Steuben,33.76,"(42.270053, -77.324618)",8,Finger Lakes Donor Recovery Network,76895,25963,2014,01,2014-08-01
111944,08 (Aug),St Lawrence,24.33,"(44.689468, -75.242045)",8,Center for Donation and Transplant in New York,86958,21161,2014,01,2014-08-01
1493350,08 (Aug),Suffolk,26.44,"(40.820237, -73.119032)",8,New York Organ Donor Network,1160034,306695,2014,01,2014-08-01
77547,08 (Aug),Sullivan,23.76,"(41.705166, -74.711705)",8,Center for Donation and Transplant in New York,60239,14310,2014,01,2014-08-01
51125,08 (Aug),Tioga,33.93,"(42.120252, -76.29595)",8,Center for Donation and Transplant in New York,39714,13474,2014,01,2014-08-01
101564,08 (Aug),Tompkins,47.45,"(42.461024, -76.478784)",8,Finger Lakes Donor Recovery Network,78895,37433,2014,01,2014-08-01
19378102,08 (Aug),TOTAL NYS,23.39,NA,8,NA,15052907,3520450,2014,01,2014-08-01
182493,08 (Aug),Ulster,29.38,"(41.848374, -74.099412)",8,Center for Donation and Transplant in New York,141761,41656,2014,01,2014-08-01
65707,08 (Aug),Warren,26.44,"(43.403024, -73.716044)",8,Center for Donation and Transplant in New York,51041,13497,2014,01,2014-08-01
63216,08 (Aug),Washington,28.55,"(43.289513, -73.454761)",8,Center for Donation and Transplant in New York,49106,14019,2014,01,2014-08-01
93772,08 (Aug),Wayne,27.71,"(43.144336, -77.117995)",8,Finger Lakes Donor Recovery Network,72842,20182,2014,01,2014-08-01
949113,08 (Aug),Westchester,22.46,"(41.039278, -73.805386)",8,New York Organ Donor Network,737271,165575,2014,01,2014-08-01
42155,08 (Aug),Wyoming,34.92,"(42.723641, -78.204473)",8,UNYTS,32746,11434,2014,01,2014-08-01
25348,08 (Aug),Yates,33.12,"(42.634338, -77.078311)",8,Finger Lakes Donor Recovery Network,19690,6522,2014,01,2014-08-01
304204,07 (Jul),Albany,28.76,"(42.678066, -73.814233)",7,Center for Donation and Transplant in New York,236306,67966,2014,01,2014-07-01
48946,07 (Jul),Allegany,32.2,"(42.226801, -78.020567)",7,UNYTS,38021,12243,2014,01,2014-07-01
1385108,07 (Jul),Bronx,12.23,"(40.85589, -73.868294)",7,New York Organ Donor Network,1075952,131641,2014,01,2014-07-01
200600,07 (Jul),Broome,32.21,"(42.122015, -75.933191)",7,Center for Donation and Transplant in New York,155826,50188,2014,01,2014-07-01
80317,07 (Jul),Cattauragus,35.71,"(42.224267, -78.606673)",7,UNYTS,62390,22278,2014,01,2014-07-01
80026,07 (Jul),Cayuga,29.03,"(42.940095, -76.560755)",7,Finger Lakes Donor Recovery Network,62164,18049,2014,01,2014-07-01
134905,07 (Jul),Chautauqua,35.84,"(42.246904, -79.315313)",7,UNYTS,104794,37559,2014,01,2014-07-01
88830,07 (Jul),Chemung,36.5,"(42.116644, -76.812331)",7,Finger Lakes Donor Recovery Network,69003,25183,2014,01,2014-07-01
50477,07 (Jul),Chenango,27.46,"(42.481798, -75.570013)",7,Finger Lakes Donor Recovery Network,39211,10768,2014,01,2014-07-01
82128,07 (Jul),Clinton,32.62,"(44.731944, -73.548883)",7,Center for Donation and Transplant in New York,63797,20809,2014,01,2014-07-01
63096,07 (Jul),Columbia,36.24,"(42.276913, -73.682168)",7,Center for Donation and Transplant in New York,49013,17763,2014,01,2014-07-01
49336,07 (Jul),Cortland,33.33,"(42.597101, -76.143291)",7,Finger Lakes Donor Recovery Network,38324,12773,2014,01,2014-07-01
47980,07 (Jul),Delaware,26.83,"(42.242972, -74.997944)",7,Center for Donation and Transplant in New York,37271,9998,2014,01,2014-07-01
297488,07 (Jul),Dutchess,28.82,"(41.686216, -73.840468)",7,Center for Donation and Transplant in New York,231089,66589,2014,01,2014-07-01
919040,07 (Jul),Erie,33.43,"(42.888143, -78.795544)",7,UNYTS,713910,238635,2014,01,2014-07-01
39370,07 (Jul),Essex,35.66,"(44.166026, -73.685145)",7,Center for Donation and Transplant in New York,30583,10907,2014,01,2014-07-01
51599,07 (Jul),Franklin,31.24,"(44.705699, -74.340621)",7,Center for Donation and Transplant in New York,40082,12523,2014,01,2014-07-01
55531,07 (Jul),Fulton,27.48,"(43.06014, -74.331296)",7,Center for Donation and Transplant in New York,43136,11853,2014,01,2014-07-01
60079,07 (Jul),Genesee,35.1,"(43.000121, -78.172679)",7,UNYTS,46669,16380,2014,01,2014-07-01
49221,07 (Jul),Greene,33.19,"(42.298326, -73.973376)",7,Center for Donation and Transplant in New York,38235,12690,2014,01,2014-07-01
4836,07 (Jul),Hamilton,36.28,"(43.618468, -74.395268)",7,Center for Donation and Transplant in New York,3757,1363,2014,01,2014-07-01
64519,07 (Jul),Herkimer,31.76,"(43.070026, -74.994246)",7,Center for Donation and Transplant in New York,50118,15916,2014,01,2014-07-01
116229,07 (Jul),Jefferson,36.86,"(44.019295, -75.898971)",7,Finger Lakes Donor Recovery Network,90287,33277,2014,01,2014-07-01
2504700,07 (Jul),Kings,14.07,"(40.65642, -73.950691)",7,New York Organ Donor Network,1945651,273806,2014,01,2014-07-01
27087,07 (Jul),Lewis,36.09,"(43.785537, -75.446296)",7,Finger Lakes Donor Recovery Network,21041,7594,2014,01,2014-07-01
65393,07 (Jul),Livingston,32.52,"(42.763754, -77.765392)",7,Finger Lakes Donor Recovery Network,50797,16521,2014,01,2014-07-01
73442,07 (Jul),Madison,31.6,"(42.986917, -75.720031)",7,Finger Lakes Donor Recovery Network,57050,18029,2014,01,2014-07-01
744344,07 (Jul),Monroe,28.69,"(43.161748, -77.620143)",7,Finger Lakes Donor Recovery Network,578206,165916,2014,01,2014-07-01
50219,07 (Jul),Montgomery,25.53,"(42.933637, -74.341972)",7,Center for Donation and Transplant in New York,39010,9958,2014,01,2014-07-01
1339532,07 (Jul),Nassau,20.76,"(40.715749, -73.601185)",7,New York Organ Donor Network,1040548,216030,2014,01,2014-07-01
1585873,07 (Jul),New York,30.27,"(40.726966, -74.005966)",7,New York Organ Donor Network,1231906,372912,2014,01,2014-07-01
216469,07 (Jul),Niagara,38.16,"(43.134634, -78.856419)",7,UNYTS,168153,64162,2014,01,2014-07-01
234878,07 (Jul),Oneida,19.14,"(43.149482, -75.361773)",7,Center for Donation and Transplant in New York,182453,34923,2014,01,2014-07-01
467026,07 (Jul),Onondaga,31.83,"(43.065629, -76.168033)",7,Finger Lakes Donor Recovery Network,362786,115463,2014,01,2014-07-01
107931,07 (Jul),Ontario,38.45,"(42.894571, -77.252045)",7,Finger Lakes Donor Recovery Network,83841,32240,2014,01,2014-07-01
372813,07 (Jul),Orange,24.3,"(41.422459, -74.241929)",7,New York Organ Donor Network,289601,70385,2014,01,2014-07-01
42883,07 (Jul),Orleans,8.81,"(43.248394, -78.218438)",7,UNYTS,33312,2935,2014,01,2014-07-01
122109,07 (Jul),Oswego,28.68,"(43.39123, -76.31133)",7,Finger Lakes Donor Recovery Network,94854,27205,2014,01,2014-07-01
62259,07 (Jul),Otsego,33.05,"(42.564852, -75.060334)",7,Center for Donation and Transplant in New York,48363,15986,2014,01,2014-07-01
99710,07 (Jul),Putnam,31.14,"(41.41131, -73.717443)",7,New York Organ Donor Network,77455,24117,2014,01,2014-07-01
2230722,07 (Jul),Queens,11.33,"(40.749338, -73.789673)",7,New York Organ Donor Network,1732825,196266,2014,01,2014-07-01
159429,07 (Jul),Rensselaer,29.65,"(42.70098, -73.628669)",7,Center for Donation and Transplant in New York,123844,36725,2014,01,2014-07-01
468730,07 (Jul),Richmond,15.8,"(40.566763, -74.148102)",7,New York Organ Donor Network,364109,57513,2014,01,2014-07-01
311687,07 (Jul),Rockland,19.36,"(41.127287, -74.017033)",7,New York Organ Donor Network,242118,46877,2014,01,2014-07-01
219607,07 (Jul),Saratoga,41.47,"(43.00894, -73.786779)",7,Center for Donation and Transplant in New York,170591,70747,2014,01,2014-07-01
154727,07 (Jul),Schenectady,34.75,"(42.809233, -73.946838)",7,Center for Donation and Transplant in New York,120192,41769,2014,01,2014-07-01
32749,07 (Jul),Schoharie,32.92,"(42.643426, -74.434606)",7,Center for Donation and Transplant in New York,25439,8374,2014,01,2014-07-01
18343,07 (Jul),Schuyler,33.64,"(42.38593, -76.872032)",7,Finger Lakes Donor Recovery Network,14249,4793,2014,01,2014-07-01
35251,07 (Jul),Seneca,16.99,"(42.833627, -76.82753)",7,Finger Lakes Donor Recovery Network,27383,4652,2014,01,2014-07-01
98990,07 (Jul),Steuben,33.56,"(42.270053, -77.324618)",7,Finger Lakes Donor Recovery Network,76895,25806,2014,01,2014-07-01
111944,07 (Jul),St Lawrence,24.33,"(44.689468, -75.242045)",7,Center for Donation and Transplant in New York,86958,21161,2014,01,2014-07-01
1493350,07 (Jul),Suffolk,26.31,"(40.820237, -73.119032)",7,New York Organ Donor Network,1160034,305241,2014,01,2014-07-01
77547,07 (Jul),Sullivan,23.63,"(41.705166, -74.711705)",7,Center for Donation and Transplant in New York,60239,14232,2014,01,2014-07-01
51125,07 (Jul),Tioga,33.77,"(42.120252, -76.29595)",7,Center for Donation and Transplant in New York,39714,13413,2014,01,2014-07-01
101564,07 (Jul),Tompkins,47.25,"(42.461024, -76.478784)",7,Finger Lakes Donor Recovery Network,78895,37274,2014,01,2014-07-01
19378102,07 (Jul),TOTAL NYS,23.25,NA,7,NA,15052907,3500467,2014,01,2014-07-01
182493,07 (Jul),Ulster,29.22,"(41.848374, -74.099412)",7,Center for Donation and Transplant in New York,141761,41417,2014,01,2014-07-01
65707,07 (Jul),Warren,26.36,"(43.403024, -73.716044)",7,Center for Donation and Transplant in New York,51041,13455,2014,01,2014-07-01
63216,07 (Jul),Washington,28.43,"(43.289513, -73.454761)",7,Center for Donation and Transplant in New York,49106,13963,2014,01,2014-07-01
93772,07 (Jul),Wayne,27.54,"(43.144336, -77.117995)",7,Finger Lakes Donor Recovery Network,72842,20059,2014,01,2014-07-01
949113,07 (Jul),Westchester,22.34,"(41.039278, -73.805386)",7,New York Organ Donor Network,737271,164708,2014,01,2014-07-01
42155,07 (Jul),Wyoming,34.77,"(42.723641, -78.204473)",7,UNYTS,32746,11386,2014,01,2014-07-01
25348,07 (Jul),Yates,32.99,"(42.634338, -77.078311)",7,Finger Lakes Donor Recovery Network,19690,6496,2014,01,2014-07-01
304204,06 (Jun),Albany,28.55,"(42.678066, -73.814233)",6,Center for Donation and Transplant in New York,236306,67459,2014,01,2014-06-01
48946,06 (Jun),Allegany,31.97,"(42.226801, -78.020567)",6,UNYTS,38021,12154,2014,01,2014-06-01
1385108,06 (Jun),Bronx,12.11,"(40.85589, -73.868294)",6,New York Organ Donor Network,1075952,130288,2014,01,2014-06-01
200600,06 (Jun),Broome,31.98,"(42.122015, -75.933191)",6,Center for Donation and Transplant in New York,155826,49828,2014,01,2014-06-01
80317,06 (Jun),Cattauragus,35.71,"(42.224267, -78.606673)",6,UNYTS,62390,22278,2014,01,2014-06-01
80026,06 (Jun),Cayuga,28.73,"(42.940095, -76.560755)",6,Finger Lakes Donor Recovery Network,62164,17860,2014,01,2014-06-01
134905,06 (Jun),Chautauqua,35.68,"(42.246904, -79.315313)",6,UNYTS,104794,37391,2014,01,2014-06-01
88830,06 (Jun),Chemung,36.24,"(42.116644, -76.812331)",6,Finger Lakes Donor Recovery Network,69003,25006,2014,01,2014-06-01
50477,06 (Jun),Chenango,27.21,"(42.481798, -75.570013)",6,Finger Lakes Donor Recovery Network,39211,10671,2014,01,2014-06-01
82128,06 (Jun),Clinton,32.4,"(44.731944, -73.548883)",6,Center for Donation and Transplant in New York,63797,20671,2014,01,2014-06-01
63096,06 (Jun),Columbia,35.97,"(42.276913, -73.682168)",6,Center for Donation and Transplant in New York,49013,17630,2014,01,2014-06-01
49336,06 (Jun),Cortland,33.16,"(42.597101, -76.143291)",6,Finger Lakes Donor Recovery Network,38324,12709,2014,01,2014-06-01
47980,06 (Jun),Delaware,26.62,"(42.242972, -74.997944)",6,Center for Donation and Transplant in New York,37271,9920,2014,01,2014-06-01
297488,06 (Jun),Dutchess,28.6,"(41.686216, -73.840468)",6,Center for Donation and Transplant in New York,231089,66088,2014,01,2014-06-01
919040,06 (Jun),Erie,33.17,"(42.888143, -78.795544)",6,UNYTS,713910,236836,2014,01,2014-06-01
39370,06 (Jun),Essex,35.42,"(44.166026, -73.685145)",6,Center for Donation and Transplant in New York,30583,10834,2014,01,2014-06-01
51599,06 (Jun),Franklin,30.98,"(44.705699, -74.340621)",6,Center for Donation and Transplant in New York,40082,12417,2014,01,2014-06-01
55531,06 (Jun),Fulton,27.3,"(43.06014, -74.331296)",6,Center for Donation and Transplant in New York,43136,11777,2014,01,2014-06-01
60079,06 (Jun),Genesee,34.84,"(43.000121, -78.172679)",6,UNYTS,46669,16260,2014,01,2014-06-01
49221,06 (Jun),Greene,32.96,"(42.298326, -73.973376)",6,Center for Donation and Transplant in New York,38235,12604,2014,01,2014-06-01
4836,06 (Jun),Hamilton,35.75,"(43.618468, -74.395268)",6,Center for Donation and Transplant in New York,3757,1343,2014,01,2014-06-01
64519,06 (Jun),Herkimer,31.52,"(43.070026, -74.994246)",6,Center for Donation and Transplant in New York,50118,15796,2014,01,2014-06-01
116229,06 (Jun),Jefferson,36.55,"(44.019295, -75.898971)",6,Finger Lakes Donor Recovery Network,90287,32996,2014,01,2014-06-01
2504700,06 (Jun),Kings,13.93,"(40.65642, -73.950691)",6,New York Organ Donor Network,1945651,270938,2014,01,2014-06-01
27087,06 (Jun),Lewis,35.79,"(43.785537, -75.446296)",6,Finger Lakes Donor Recovery Network,21041,7530,2014,01,2014-06-01
65393,06 (Jun),Livingston,32.25,"(42.763754, -77.765392)",6,Finger Lakes Donor Recovery Network,50797,16381,2014,01,2014-06-01
73442,06 (Jun),Madison,31.34,"(42.986917, -75.720031)",6,Finger Lakes Donor Recovery Network,57050,17881,2014,01,2014-06-01
744344,06 (Jun),Monroe,28.5,"(43.161748, -77.620143)",6,Finger Lakes Donor Recovery Network,578206,164781,2014,01,2014-06-01
50219,06 (Jun),Montgomery,25.29,"(42.933637, -74.341972)",6,Center for Donation and Transplant in New York,39010,9867,2014,01,2014-06-01
1339532,06 (Jun),Nassau,20.61,"(40.715749, -73.601185)",6,New York Organ Donor Network,1040548,214474,2014,01,2014-06-01
1585873,06 (Jun),New York,30.02,"(40.726966, -74.005966)",6,New York Organ Donor Network,1231906,369786,2014,01,2014-06-01
216469,06 (Jun),Niagara,37.88,"(43.134634, -78.856419)",6,UNYTS,168153,63701,2014,01,2014-06-01
234878,06 (Jun),Oneida,19,"(43.149482, -75.361773)",6,Center for Donation and Transplant in New York,182453,34659,2014,01,2014-06-01
467026,06 (Jun),Onondaga,31.6,"(43.065629, -76.168033)",6,Finger Lakes Donor Recovery Network,362786,114653,2014,01,2014-06-01
107931,06 (Jun),Ontario,38.17,"(42.894571, -77.252045)",6,Finger Lakes Donor Recovery Network,83841,32002,2014,01,2014-06-01
372813,06 (Jun),Orange,24.13,"(41.422459, -74.241929)",6,New York Organ Donor Network,289601,69867,2014,01,2014-06-01
42883,06 (Jun),Orleans,8.66,"(43.248394, -78.218438)",6,UNYTS,33312,2885,2014,01,2014-06-01
122109,06 (Jun),Oswego,28.52,"(43.39123, -76.31133)",6,Finger Lakes Donor Recovery Network,94854,27048,2014,01,2014-06-01
62259,06 (Jun),Otsego,32.88,"(42.564852, -75.060334)",6,Center for Donation and Transplant in New York,48363,15901,2014,01,2014-06-01
99710,06 (Jun),Putnam,30.84,"(41.41131, -73.717443)",6,New York Organ Donor Network,77455,23890,2014,01,2014-06-01
2230722,06 (Jun),Queens,11.22,"(40.749338, -73.789673)",6,New York Organ Donor Network,1732825,194395,2014,01,2014-06-01
159429,06 (Jun),Rensselaer,29.43,"(42.70098, -73.628669)",6,Center for Donation and Transplant in New York,123844,36449,2014,01,2014-06-01
468730,06 (Jun),Richmond,15.68,"(40.566763, -74.148102)",6,New York Organ Donor Network,364109,57076,2014,01,2014-06-01
311687,06 (Jun),Rockland,19.23,"(41.127287, -74.017033)",6,New York Organ Donor Network,242118,46555,2014,01,2014-06-01
219607,06 (Jun),Saratoga,41.16,"(43.00894, -73.786779)",6,Center for Donation and Transplant in New York,170591,70217,2014,01,2014-06-01
154727,06 (Jun),Schenectady,34.52,"(42.809233, -73.946838)",6,Center for Donation and Transplant in New York,120192,41488,2014,01,2014-06-01
32749,06 (Jun),Schoharie,32.78,"(42.643426, -74.434606)",6,Center for Donation and Transplant in New York,25439,8338,2014,01,2014-06-01
18343,06 (Jun),Schuyler,33.4,"(42.38593, -76.872032)",6,Finger Lakes Donor Recovery Network,14249,4759,2014,01,2014-06-01
35251,06 (Jun),Seneca,16.84,"(42.833627, -76.82753)",6,Finger Lakes Donor Recovery Network,27383,4611,2014,01,2014-06-01
98990,06 (Jun),Steuben,33.38,"(42.270053, -77.324618)",6,Finger Lakes Donor Recovery Network,76895,25666,2014,01,2014-06-01
111944,06 (Jun),St Lawrence,24.33,"(44.689468, -75.242045)",6,Center for Donation and Transplant in New York,86958,21161,2014,01,2014-06-01
77547,06 (Jun),Sullivan,23.42,"(41.705166, -74.711705)",6,Center for Donation and Transplant in New York,60239,14110,2014,01,2014-06-01
51125,06 (Jun),Tioga,33.56,"(42.120252, -76.29595)",6,Center for Donation and Transplant in New York,39714,13330,2014,01,2014-06-01
101564,06 (Jun),Tompkins,46.94,"(42.461024, -76.478784)",6,Finger Lakes Donor Recovery Network,78895,37036,2014,01,2014-06-01
19378102,06 (Jun),TOTAL NYS,23.07,NA,6,NA,15052907,3473122,2014,01,2014-06-01
182493,06 (Jun),Ulster,28.95,"(41.848374, -74.099412)",6,Center for Donation and Transplant in New York,141761,41045,2014,01,2014-06-01
65707,06 (Jun),Warren,26.24,"(43.403024, -73.716044)",6,Center for Donation and Transplant in New York,51041,13394,2014,01,2014-06-01
63216,06 (Jun),Washington,28.27,"(43.289513, -73.454761)",6,Center for Donation and Transplant in New York,49106,13880,2014,01,2014-06-01
93772,06 (Jun),Wayne,27.35,"(43.144336, -77.117995)",6,Finger Lakes Donor Recovery Network,72842,19919,2014,01,2014-06-01
949113,06 (Jun),Westchester,22.16,"(41.039278, -73.805386)",6,New York Organ Donor Network,737271,163349,2014,01,2014-06-01
42155,06 (Jun),Wyoming,34.6,"(42.723641, -78.204473)",6,UNYTS,32746,11330,2014,01,2014-06-01
25348,06 (Jun),Yates,32.8,"(42.634338, -77.078311)",6,Finger Lakes Donor Recovery Network,19690,6458,2014,01,2014-06-01
304204,05 (May),Albany,28.41,"(42.678066, -73.814233)",5,Center for Donation and Transplant in New York,236306,67127,2014,01,2014-05-01
48946,05 (May),Allegany,31.84,"(42.226801, -78.020567)",5,UNYTS,38021,12107,2014,01,2014-05-01
1385108,05 (May),Bronx,12.02,"(40.85589, -73.868294)",5,New York Organ Donor Network,1075952,129321,2014,01,2014-05-01
200600,05 (May),Broome,31.85,"(42.122015, -75.933191)",5,Center for Donation and Transplant in New York,155826,49627,2014,01,2014-05-01
80317,05 (May),Cattauragus,35.71,"(42.224267, -78.606673)",5,UNYTS,62390,22278,2014,01,2014-05-01
80026,05 (May),Cayuga,28.61,"(42.940095, -76.560755)",5,Finger Lakes Donor Recovery Network,62164,17786,2014,01,2014-05-01
134905,05 (May),Chautauqua,35.6,"(42.246904, -79.315313)",5,UNYTS,104794,37304,2014,01,2014-05-01
88830,05 (May),Chemung,36.07,"(42.116644, -76.812331)",5,Finger Lakes Donor Recovery Network,69003,24891,2014,01,2014-05-01
50477,05 (May),Chenango,27.06,"(42.481798, -75.570013)",5,Finger Lakes Donor Recovery Network,39211,10610,2014,01,2014-05-01
82128,05 (May),Clinton,32.28,"(44.731944, -73.548883)",5,Center for Donation and Transplant in New York,63797,20591,2014,01,2014-05-01
63096,05 (May),Columbia,35.82,"(42.276913, -73.682168)",5,Center for Donation and Transplant in New York,49013,17558,2014,01,2014-05-01
49336,05 (May),Cortland,33.08,"(42.597101, -76.143291)",5,Finger Lakes Donor Recovery Network,38324,12678,2014,01,2014-05-01
47980,05 (May),Delaware,26.51,"(42.242972, -74.997944)",5,Center for Donation and Transplant in New York,37271,9882,2014,01,2014-05-01
297488,05 (May),Dutchess,28.49,"(41.686216, -73.840468)",5,Center for Donation and Transplant in New York,231089,65840,2014,01,2014-05-01
919040,05 (May),Erie,33.02,"(42.888143, -78.795544)",5,UNYTS,713910,235718,2014,01,2014-05-01
39370,05 (May),Essex,35.27,"(44.166026, -73.685145)",5,Center for Donation and Transplant in New York,30583,10786,2014,01,2014-05-01
51599,05 (May),Franklin,30.86,"(44.705699, -74.340621)",5,Center for Donation and Transplant in New York,40082,12369,2014,01,2014-05-01
55531,05 (May),Fulton,27.21,"(43.06014, -74.331296)",5,Center for Donation and Transplant in New York,43136,11737,2014,01,2014-05-01
60079,05 (May),Genesee,34.66,"(43.000121, -78.172679)",5,UNYTS,46669,16174,2014,01,2014-05-01
